bike,start_time,end_time,start_st,end_st
379_12,2017-07-07 11:26:22.456086,2017-07-07 11:29:20.398486,152,146
483_16,2017-07-07 11:24:45.727125,2017-07-07 11:30:04.690796,387,152
376_3,2017-07-07 11:31:03.637605,2017-07-07 11:35:00.755265,249,320
293_26,2017-07-07 11:31:17.531437,2017-07-07 11:35:06.555481,152,320
545_1,2017-07-07 11:52:01.833445,2017-07-07 11:54:15.504000,264,415
3134_19,2017-07-07 11:54:20.083773,2017-07-07 11:56:51.531969,3461,417
520_0,2017-07-07 11:57:14.811169,2017-07-07 12:00:52.022160,417,320
3427_17,2017-07-07 12:05:05.826987,2017-07-07 12:07:20.814411,2010,377
302_7,2017-07-07 12:16:10.375353,2017-07-07 12:24:45.565158,257,3436
3119_17,2017-07-07 12:26:52.865359,2017-07-07 12:28:07.681361,316,3489
350_4,2017-07-07 12:27:10.175119,2017-07-07 12:32:25.913378,377,3474
261_0,2017-07-07 12:50:30.956103,2017-07-07 12:52:41.670199,195,304
3349_8,2017-07-07 12:51:31.565020,2017-07-07 12:53:16.011640,360,319
128_14,2017-07-07 14:47:11.134513,2017-07-07 14:52:02.448804,146,309
3420_7,2017-07-07 14:55:38.296128,2017-07-07 14:58:19.697128,360,195
409_1,2017-07-07 16:51:04.002076,2017-07-07 16:52:57.217263,362,498
3424_5,2017-07-07 18:06:10.390074,2017-07-07 18:09:25.301379,3255,494
3374_14,2017-07-07 19:13:48.185812,2017-07-07 19:17:04.650543,301,410
3141_19,2017-07-07 19:43:07.195058,2017-07-07 19:45:37.499171,326,236
3046_0,2017-07-07 20:14:21.805461,2017-07-07 20:16:19.790959,326,237
3286_4,2017-07-07 20:13:55.152141,2017-07-07 20:16:43.320834,326,237
3255_3,2017-07-07 20:17:45.772690,2017-07-07 20:21:04.793636,393,301
484_11,2017-07-07 20:47:10.939945,2017-07-07 20:50:02.426115,326,236
2009_12,2017-07-07 20:56:33.811380,2017-07-07 20:59:39.613254,494,3255
399_9,2017-07-07 21:04:32.750525,2017-07-07 21:06:38.832281,317,394
345_0,2017-07-07 21:06:24.329753,2017-07-07 21:10:36.307265,394,339
345_4,2017-07-07 21:06:10.177694,2017-07-07 21:10:48.235348,394,339
3350_4,2017-07-07 21:06:21.090234,2017-07-07 21:10:54.782330,394,339
